Building,Model,MAE,RMSE,MAPE,PeakError,R2
GEO,Persistence,0.6823531392884874,1.143719766320217,13.6145552391402,16.9999999999959,0.8886490401156959
GEO,Static_ES,1.3316677879068668,1.7449196504112963,31.600848905200124,16.146861857590252,0.7408175574312028
GEO,ARX_ES,0.6688475750832427,1.0466531093235072,14.152192262859028,15.430234587197281,0.9067475507311709
GEO,ARMAX_ES,0.6954235998675526,1.0598280928593944,16.594820075526084,16.550454261033003,0.9043851020646697
ICO,Persistence,1.5448901464791953,2.5672467619091326,7.399574311168,46.0000000000349,0.9801956574950358
ICO,Static_ES,5.6534780239337765,7.441804926341016,63.380743488497274,36.67646574830033,0.833589102735946
ICO,ARX_ES,1.5552617177744863,2.4871516311237682,10.39637233260878,43.657164605845495,0.9814121257623751
ICO,ARMAX_ES,1.6536168031716691,2.624573193311564,11.54277733494029,41.841270844140965,0.9793013235190433
LIB,Persistence,28.15921653250781,51.15703841007221,51.01405302745102,313.99999999996453,0.24371361644553768
LIB,Static_ES,25.30178697652219,43.10509180837979,160.94978916957825,342.0008255551844,0.4630514900711077
LIB,ARX_ES,22.047834561189834,39.27433308516785,97.52920129433559,326.63904757439593,0.5542481741496423
LIB,ARMAX_ES,23.090482150085876,37.55450744772794,161.32705938804045,299.88581768786264,0.5924324176114196
SOC,Persistence,31.22909894843054,58.50657622243634,48.70110894928012,382.99999999992457,0.2866269101636989
SOC,Static_ES,30.85288578903317,51.11466366370523,117.47489492267513,355.6700730824896,0.45549939164588227
SOC,ARX_ES,25.0419397680563,45.288870526563414,66.14124551192033,330.075455892258,0.5725450663830881
SOC,ARMAX_ES,26.628316140694572,43.2041630642058,97.1230084819503,324.0189907372936,0.6109919867887581
U01,Persistence,21.72044348936632,40.54208612774482,23.32001932011973,807.0000000002437,0.7275744485791927
U01,Static_ES,25.720056242622203,37.08930155625301,141.42647612823131,810.0015046906924,0.7720009881130245
U01,ARX_ES,20.144882293853094,31.916590990146815,87.75911942740488,808.2556071645323,0.8311626017525682
U01,ARMAX_ES,20.206791231797038,32.60850610143365,109.32815182566094,819.0657980492546,0.8237628502238273
U01U02,Persistence,69.27927927974272,117.27383831514133,18.9558332128207,569.999999996071,0.1321744151574109
U01U02,Static_ES,97.0673175447432,124.91904650119585,28.837149691030145,509.76031903288595,0.015337288819840533
U01U02,ARX_ES,67.42931425275424,97.64762731010416,19.505803304071236,485.90918854779375,0.39833664581825023
U01U02,ARMAX_ES,62.27521730541452,94.1749630844565,17.675791326872652,493.71578598714916,0.44036987105243275
U02B,Persistence,2.6115963919165326,4.512761981822283,27.087025955040932,54.0000000000021,0.6696079509386291
U02B,Static_ES,4.430306142297896,5.78049465078858,60.83675110215238,54.798992837528566,0.45790582742458574
U02B,ARX_ES,2.7725048532522503,4.093481847325215,36.009312004783276,51.9580416166238,0.7281492915493748
U02B,ARMAX_ES,2.8357301806929747,4.121932512735477,46.12833403268372,43.63508817277972,0.7243573063595767
U03,Persistence,10.52048894151372,19.828439340423646,20.38844583490782,132.99999999992457,0.7342065996414667
U03,Static_ES,21.099351343398457,29.077929185354154,80.32044133780593,121.41659667636256,0.4283975570162869
U03,ARX_ES,13.194966658520439,18.35750273645188,44.095885767053986,109.1343640603288,0.7721786975524985
U03,ARMAX_ES,10.854084114186563,16.18756693641614,36.58890109739464,106.62721349622618,0.8228544358922587
U03B,Persistence,2.9786376185668106,5.739103831149189,20.01189834830394,79.0000000000077,0.7539364736801818
U03B,Static_ES,4.742866787410367,6.38243204566101,81.00219192645028,85.5819821340916,0.6956793109647019
U03B,ARX_ES,3.3618741128299567,4.941241164671642,49.06671637938926,83.3558364399202,0.817597334240906
U03B,ARMAX_ES,3.0261099415577433,4.610074135005134,39.94805478701413,78.29695626110143,0.8412276407081135
U04,Persistence,4.8160210417147695,10.34813424360866,21.83193000879677,100.0000000001932,0.791570895902297
U04,Static_ES,14.875408503257969,24.80970409124165,66.75363583073826,97.26027576004941,-0.19805683856499856
U04,ARX_ES,7.875666994759398,13.24775246136791,37.888533808585905,89.57138683668911,0.6583993701298293
U04,ARMAX_ES,5.200971437712168,8.97621892836661,43.1863377888283,85.70039551780616,0.8431728946676119
U04B,Persistence,1.8661690067215144,4.342318445812868,15.892109026334442,75.000000000017,0.7126872207445281
U04B,Static_ES,5.696221479713782,7.638149886315095,79.9715107604794,72.14188616475353,0.11102825588300114
U04B,ARX_ES,1.813493799261992,3.65731324354854,20.09803002570579,75.5248991853947,0.7961851040541601
U04B,ARMAX_ES,3.21046997694574,5.709877002710193,32.843035983229605,75.06627136069467,0.503218847612249
U05,Persistence,11.148782853433497,20.343696411741682,28.54828231293113,231.99999999985718,0.7722947511438798
U05,Static_ES,21.193705777726038,29.21600752690694,125.63410899852198,231.38120481095115,0.5303708512718784
U05,ARX_ES,11.871276074769922,18.991344808046527,57.44309754129496,238.79996573178653,0.8015620430509666
U05,ARMAX_ES,12.58712630419502,19.154319033983327,81.86597752250907,250.43753511891683,0.7981416389897634
U05B,Persistence,1.7055975625482611,3.144963794742395,25.190924104021434,28.999999999967905,0.7970818425510464
U05B,Static_ES,2.847488055391538,4.045407660519846,56.49676700643735,25.084690032690187,0.6642514120095088
U05B,ARX_ES,1.6434076715659494,2.6105696505860685,30.78913134271693,20.34102720742854,0.8601829356121581
U05B,ARMAX_ES,1.695603813412147,2.5825140139072262,39.68983538643335,20.183652996465806,0.8631719985392563
U06,Persistence,5.8251612408144435,11.11149929522725,27.419839896904662,143.0000000000291,0.856464982645483
U06,Static_ES,18.40970991185351,33.02720109218781,87.90493704081759,176.8332356673877,-0.26810753032975265
U06,ARX_ES,7.82892363805414,12.16155194161373,40.47006347570363,94.94445993996591,0.8280546093935155
U06,ARMAX_ES,7.088921366974594,11.106891980355966,37.1064497991369,105.34353105582336,0.8565839897926133
U06A,Persistence,3.0166127936346947,6.130336362340125,27.23008205440836,96.65753424658826,0.7701941998145607
