Building,Horizon_h,datetime,Model,actual_kwh,pred_kwh,abs_error_kwh,week_start,week_end,week_variance_kwh2
U05,1,2024-01-03 06:00:00,Persistence_1h,247.6666666667037,194.9999999999363,52.666666666767384,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 07:00:00,Persistence_1h,329.3333333334001,247.6666666667037,81.66666666669641,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 08:00:00,Persistence_1h,338.6666666666036,329.3333333334001,9.333333333203484,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 09:00:00,Persistence_1h,351.9999999998875,338.6666666666036,13.333333333283917,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 10:00:00,Persistence_1h,345.0000000001427,351.9999999998875,6.99999999974483,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 11:00:00,Persistence_1h,330.9999999999062,345.0000000001427,14.000000000236469,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 12:00:00,Persistence_1h,324.083333333351,330.9999999999062,6.916666666555216,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 13:00:00,Persistence_1h,305.2500000000568,324.083333333351,18.833333333294206,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 14:00:00,Persistence_1h,293.33333333333303,305.2500000000568,11.916666666723756,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 15:00:00,Persistence_1h,297.6666666667169,293.33333333333303,4.333333333383848,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 16:00:00,Persistence_1h,285.3333333333152,297.6666666667169,12.333333333401697,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 17:00:00,Persistence_1h,264.16666666663417,285.3333333333152,21.16666666668101,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 18:00:00,Persistence_1h,233.9999999999973,264.16666666663417,30.16666666663687,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 19:00:00,Persistence_1h,172.3333333332934,233.9999999999973,61.66666666670389,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 20:00:00,Persistence_1h,152.1666666666776,172.3333333332934,20.16666666661581,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 21:00:00,Persistence_1h,140.49999999997178,152.1666666666776,11.666666666705822,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 22:00:00,Persistence_1h,134.3333333333269,140.49999999997178,6.166666666644886,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-03 23:00:00,Persistence_1h,137.333333333415,134.3333333333269,3.0000000000881073,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 00:00:00,Persistence_1h,138.8333333334168,137.333333333415,1.5000000000017906,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 01:00:00,Persistence_1h,145.4999999997941,138.8333333334168,6.666666666377324,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 02:00:00,Persistence_1h,166.0000000000527,145.4999999997941,20.50000000025858,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 03:00:00,Persistence_1h,162.0000000000763,166.0000000000527,3.9999999999763816,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 04:00:00,Persistence_1h,160.3333333332157,162.0000000000763,1.666666666860607,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 05:00:00,Persistence_1h,191.66666666674809,160.3333333332157,31.33333333353238,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 06:00:00,Persistence_1h,246.9999999999391,191.66666666674809,55.33333333319101,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 07:00:00,Persistence_1h,328.0000000000245,246.9999999999391,81.00000000008541,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 08:00:00,Persistence_1h,335.9999999999923,328.0000000000245,7.999999999967827,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 09:00:00,Persistence_1h,340.66666666672677,335.9999999999923,4.666666666734443,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 10:00:00,Persistence_1h,340.333333333322,340.66666666672677,0.33333333340476656,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 11:00:00,Persistence_1h,330.9999999999657,340.333333333322,9.33333333335628,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
U05,1,2024-01-04 12:00:00,Persistence_1h,307.9999999999758,330.9999999999657,22.99999999998994,2024-01-03 06:00:00,2024-01-10 05:00:00,5501.443
