Scope,Model,Horizon_h,prev_horizon_h,delta_MAE_vs_1h,delta_RMSE_vs_1h,delta_WAPE_pct_vs_1h,delta_MAE_vs_prev_h,delta_RMSE_vs_prev_h,delta_WAPE_pct_vs_prev_h
common_core,ARMAX_ES,1,,0.0,0.0,0.0,,,
common_core,ARMAX_ES,3,,0.028,-0.032,0.068,,,
common_core,ARMAX_ES,3,1.0,,,,0.028,-0.032,0.068
common_core,ARMAX_ES,4,,1085.714,1373.265,727.783,,,
common_core,ARMAX_ES,4,3.0,,,,1085.686,1373.297,727.715
common_core,ARMAX_ES,6,,0.081,0.062,0.109,,,
common_core,ARMAX_ES,6,4.0,,,,-1085.633,-1373.203,-727.674
common_core,ARMAX_ES,8,,0.067,0.098,0.079,,,
common_core,ARMAX_ES,8,6.0,,,,-0.014,0.036,-0.03
common_core,ARX_ES,1,,0.0,0.0,0.0,,,
common_core,ARX_ES,3,,5.012,7.568,10.844,,,
common_core,ARX_ES,3,1.0,,,,5.012,7.568,10.844
common_core,ARX_ES,4,,7.042,10.531,15.223,,,
common_core,ARX_ES,4,3.0,,,,2.03,2.963,4.379
common_core,ARX_ES,6,,10.083,14.981,21.962,,,
common_core,ARX_ES,6,4.0,,,,3.041,4.45,6.739
common_core,ARX_ES,8,,12.038,17.983,26.525,,,
common_core,ARX_ES,8,6.0,,,,1.955,3.002,4.563
common_core,Persistence_1h,1,,0.0,0.0,0.0,,,
common_core,Persistence_1h,3,,4.646,7.578,9.29,,,
common_core,Persistence_1h,3,1.0,,,,4.646,7.578,9.29
common_core,Persistence_1h,4,,6.62,10.478,13.248,,,
common_core,Persistence_1h,4,3.0,,,,1.974,2.9,3.958
common_core,Persistence_1h,6,,9.81,14.902,19.75,,,
common_core,Persistence_1h,6,4.0,,,,3.19,4.424,6.502
common_core,Persistence_1h,8,,12.301,18.096,25.122,,,
common_core,Persistence_1h,8,6.0,,,,2.491,3.194,5.372
common_core,Persistence_week,1,,0.0,0.0,0.0,,,
common_core,Persistence_week,3,,0.046,-0.001,0.008,,,
common_core,Persistence_week,3,1.0,,,,0.046,-0.001,0.008
common_core,Persistence_week,4,,0.073,0.017,0.038,,,
common_core,Persistence_week,4,3.0,,,,0.027,0.018,0.03
common_core,Persistence_week,6,,0.112,0.068,0.099,,,
common_core,Persistence_week,6,4.0,,,,0.039,0.051,0.061
common_core,Persistence_week,8,,0.109,0.096,0.121,,,
common_core,Persistence_week,8,6.0,,,,-0.003,0.028,0.022
common_core,Static_ES,1,,0.0,0.0,0.0,,,
common_core,Static_ES,3,,-0.147,-0.264,-0.392,,,
common_core,Static_ES,3,1.0,,,,-0.147,-0.264,-0.392
common_core,Static_ES,4,,-0.154,-0.3,-0.45,,,
common_core,Static_ES,4,3.0,,,,-0.007,-0.036,-0.058
common_core,Static_ES,6,,-0.055,-0.177,-0.311,,,
common_core,Static_ES,6,4.0,,,,0.099,0.123,0.139
common_core,Static_ES,8,,0.081,0.036,-0.048,,,
common_core,Static_ES,8,6.0,,,,0.136,0.213,0.263
extended_all,ARMAX_ES,1,,0.0,0.0,0.0,,,
extended_all,ARMAX_ES,3,,0.039,0.008,0.061,,,
extended_all,ARMAX_ES,3,1.0,,,,0.039,0.008,0.061
extended_all,ARMAX_ES,4,,958.001,1211.72,642.165,,,
extended_all,ARMAX_ES,4,3.0,,,,957.962,1211.712,642.104
extended_all,ARMAX_ES,6,,563.92,643.88,145.426,,,
extended_all,ARMAX_ES,6,4.0,,,,-394.081,-567.84,-496.739
extended_all,ARMAX_ES,8,,0.123,0.289,0.084,,,
extended_all,ARMAX_ES,8,6.0,,,,-563.797,-643.591,-145.342
extended_all,ARX_ES,1,,0.0,0.0,0.0,,,
