Scope,Horizon_h,Model,n_buildings,MAE_mean,RMSE_mean,WAPE_pct_mean,R2_mean,MAE_peak_mean
common_core,1,ARMAX_ES,15,4.027,7.836,8.952,0.9619,7.193
common_core,1,ARX_ES,15,4.206,7.548,9.526,0.964,7.256
common_core,1,Persistence_1h,15,3.887,7.639,8.487,0.9616,6.796
common_core,1,Persistence_week,15,24.929,41.834,50.315,0.3289,60.856
common_core,1,Static_ES,15,23.855,35.066,50.88,0.4642,54.381
common_core,3,ARMAX_ES,15,4.055,7.804,9.02,0.9618,7.078
common_core,3,ARX_ES,15,9.218,15.116,20.37,0.871,18.396
common_core,3,Persistence_1h,15,8.533,15.217,17.777,0.855,16.395
common_core,3,Persistence_week,15,24.975,41.833,50.323,0.327,61.019
common_core,3,Static_ES,15,23.708,34.802,50.488,0.471,53.938
common_core,4,ARMAX_ES,15,1089.741,1381.101,736.735,-1907.4428,1868.431
common_core,4,ARX_ES,15,11.248,18.079,24.749,0.824,23.319
common_core,4,Persistence_1h,15,10.507,18.117,21.735,0.7985,20.515
common_core,4,Persistence_week,15,25.002,41.851,50.353,0.3258,61.076
common_core,4,Static_ES,15,23.701,34.766,50.43,0.4724,53.901
common_core,6,ARMAX_ES,15,4.108,7.898,9.061,0.9615,7.27
common_core,6,ARX_ES,15,14.289,22.529,31.488,0.7433,31.244
common_core,6,Persistence_1h,15,13.697,22.541,28.237,0.6947,27.21
common_core,6,Persistence_week,15,25.041,41.902,50.414,0.3246,61.194
common_core,6,Static_ES,15,23.8,34.889,50.569,0.471,54.21
common_core,8,ARMAX_ES,15,4.094,7.934,9.031,0.9615,7.316
common_core,8,ARX_ES,15,16.244,25.531,36.051,0.6798,36.831
common_core,8,Persistence_1h,15,16.188,25.735,33.609,0.6011,32.552
common_core,8,Persistence_week,15,25.038,41.93,50.436,0.3245,61.318
common_core,8,Static_ES,15,23.936,35.102,50.832,0.4674,54.727
extended_all,1,ARMAX_ES,17,5.009,9.636,8.571,0.9541,7.852
extended_all,1,ARX_ES,17,5.149,8.973,9.123,0.9588,7.922
extended_all,1,Persistence_1h,17,4.79,9.186,8.105,0.9558,7.476
extended_all,1,Persistence_week,17,35.86,52.827,50.911,0.0243,71.612
extended_all,1,Static_ES,17,28.206,39.017,48.559,0.4253,55.517
extended_all,3,ARMAX_ES,17,5.048,9.644,8.632,0.9536,7.742
extended_all,3,ARX_ES,17,11.339,18.003,19.678,0.849,19.641
extended_all,3,Persistence_1h,17,10.589,18.582,17.158,0.8272,17.78
extended_all,3,Persistence_week,17,36.04,52.928,50.952,0.0136,71.756
extended_all,3,Static_ES,17,27.879,38.548,48.1,0.4357,54.926
extended_all,4,ARMAX_ES,17,963.01,1221.356,650.736,-1682.9327,1650.116
extended_all,4,ARX_ES,17,13.896,21.409,23.94,0.7944,24.673
extended_all,4,Persistence_1h,17,13.102,22.156,21.026,0.7585,22.209
extended_all,4,Persistence_week,17,36.138,52.996,50.997,0.0078,71.807
extended_all,4,Static_ES,17,27.744,38.387,47.979,0.4392,54.755
extended_all,6,ARMAX_ES,17,568.929,653.516,153.997,-716.4136,590.493
extended_all,6,ARX_ES,17,17.775,26.348,30.445,0.7045,32.932
extended_all,6,Persistence_1h,17,17.313,27.679,27.422,0.6305,29.655
extended_all,6,Persistence_week,17,36.319,53.145,51.087,-0.0032,71.911
extended_all,6,Static_ES,17,27.546,38.217,47.943,0.4435,54.782
extended_all,8,ARMAX_ES,17,5.132,9.925,8.655,0.9517,7.935
extended_all,8,ARX_ES,17,20.253,29.623,34.765,0.6356,38.79
extended_all,8,Persistence_1h,17,20.809,31.835,32.742,0.5103,35.84
extended_all,8,Persistence_week,17,36.466,53.277,51.144,-0.0134,71.883
extended_all,8,Static_ES,17,27.396,38.085,48.022,0.4464,55.01
