Feature,Group,Baseline,LSTM base,LSTM inertia-aware
feat_hdh_15c,weather,,X,X
feat_is_heating_weather,weather,,X,X
feat_outdoor_temp_c,weather,X,X,X
feat_rh_pct,weather,,X,X
feat_solar_irradiance_wm2,weather,X,X,X
feat_sunshine_min,weather,,X,X
feat_temp_diff1h,weather,,,X
feat_temp_diff3h,weather,,,X
feat_temp_roll12h,weather,,,X
feat_temp_roll24h,weather,,,X
feat_temp_roll6h,weather,,,X
feat_wind_ms,weather,X,X,X
feat_windchill_c,weather,,X,X
feat_heat_lag1,demand,X,,X
feat_heat_lag168,demand,X,,X
feat_heat_lag2,demand,X,,X
feat_heat_lag24,demand,,,X
feat_heat_lag3,demand,,,X
feat_heat_roll24h,demand,,,X
feat_heat_roll6h,demand,,,X
feat_dhw_deltaT_c,system,,X,X
feat_dhw_deltaT_lag1,system,,X,X
feat_dhw_deltaT_roll24h,system,,X,X
feat_dhw_deltaT_roll6h,system,,X,X
feat_dhw_heat_active,system,,X,X
feat_dhw_low_deltaT_flag,system,,X,X
feat_dhw_low_deltaT_roll24h,system,,X,X
feat_space_deltaT_c,system,,X,X
feat_space_deltaT_lag1,system,,X,X
feat_space_deltaT_roll24h,system,,X,X
feat_space_deltaT_roll6h,system,,X,X
feat_space_heat_active,system,,X,X
feat_space_low_deltaT_flag,system,,X,X
feat_space_low_deltaT_roll24h,system,,X,X
feat_vent_deltaT_c,system,,X,X
feat_vent_deltaT_lag1,system,,X,X
feat_vent_deltaT_roll24h,system,,X,X
feat_vent_deltaT_roll6h,system,,X,X
feat_vent_heat_active,system,,X,X
feat_vent_low_deltaT_flag,system,,X,X
feat_vent_low_deltaT_roll24h,system,,X,X
feat_dow_cos,calendar,,X,X
feat_dow_sin,calendar,,X,X
feat_hour_cos,calendar,,X,X
feat_hour_sin,calendar,,X,X
feat_is_daytime,calendar,,X,X
feat_is_night,calendar,,X,X
feat_is_weekend,calendar,,X,X
feat_month_cos,calendar,,X,X
feat_month_sin,calendar,,X,X
stat_building_age_years,static,,,X
stat_building_type_muu_erihoone,static,,,X
stat_building_type_muu_haridus_voi_teadushoone,static,,,X
stat_building_type_raamatukogu,static,,,X
stat_building_type_ulikooli_rakenduskorgkooli_oppehoone,static,,,X
stat_cooling_system_lokaalne_jahutus,static,,,X
stat_energy_class_d,static,,,X
stat_energy_class_e,static,,,X
stat_has_cooling_system,static,,,X
stat_has_energy_class,static,,,X
stat_has_multiple_hoone_labels,static,,,X
stat_heated_area_m2,static,,,X
stat_heated_area_missing,static,,,X
stat_missing_building_age_years,static,,,X
stat_missing_has_energy_class,static,,,X
stat_missing_heated_area_m2,static,,,X
stat_missing_heated_area_missing,static,,,X
stat_missing_usage_non_res_share_of_heated,static,,,X
stat_n_dhw_points,static,,,X
stat_n_heat_points,static,,,X
stat_n_points,static,,,X
stat_n_vent_points,static,,,X
stat_usage_non_res_share_of_heated,static,,,X
stat_vent_class_basic,static,,,X
stat_vent_class_none,static,,,X
stat_vent_class_rich,static,,,X
stat_ventilation_has_heat_recovery,static,,,X
stat_ventilation_type_soojustagastusega_ventilatsioon,static,,,X
stat_train_ac1,train_static,,,X
stat_train_ac24,train_static,,,X
stat_train_daily_corr_heat_temp,train_static,,,X
stat_train_day_mean_heat_per_m2,train_static,,,X
stat_train_deltaT_dhw_median,train_static,,,X
stat_train_deltaT_dhw_p10,train_static,,,X
stat_train_deltaT_dhw_p90,train_static,,,X
stat_train_deltaT_space_median,train_static,,,X
stat_train_deltaT_space_p10,train_static,,,X
stat_train_deltaT_space_p90,train_static,,,X
stat_train_deltaT_vent_median,train_static,,,X
stat_train_deltaT_vent_p10,train_static,,,X
stat_train_deltaT_vent_p90,train_static,,,X
stat_train_heat_demand_mean_daily_mwh,train_static,,,X
stat_train_heat_demand_per_m2_mwh_per_day,train_static,,,X
stat_train_heat_demand_total_mwh,train_static,,,X
stat_train_intercept_heat_per_m2,train_static,,,X
stat_train_missing_daily_corr_heat_temp,train_static,,,X
stat_train_missing_day_mean_heat_per_m2,train_static,,,X
stat_train_missing_deltaT_dhw_median,train_static,,,X
stat_train_missing_deltaT_dhw_p10,train_static,,,X
stat_train_missing_deltaT_dhw_p90,train_static,,,X
stat_train_missing_deltaT_space_median,train_static,,,X
stat_train_missing_deltaT_space_p10,train_static,,,X
stat_train_missing_deltaT_space_p90,train_static,,,X
stat_train_missing_deltaT_vent_median,train_static,,,X
stat_train_missing_deltaT_vent_p10,train_static,,,X
stat_train_missing_deltaT_vent_p90,train_static,,,X
stat_train_missing_heat_demand_per_m2_mwh_per_day,train_static,,,X
stat_train_missing_intercept_heat_per_m2,train_static,,,X
stat_train_missing_night_day_ratio,train_static,,,X
stat_train_missing_night_mean_heat_per_m2,train_static,,,X
stat_train_missing_share_low_deltaT_dhw,train_static,,,X
stat_train_missing_share_low_deltaT_space,train_static,,,X
stat_train_missing_share_low_deltaT_vent,train_static,,,X
stat_train_missing_slope_heat_per_m2_per_deg,train_static,,,X
stat_train_night_day_ratio,train_static,,,X
stat_train_night_mean_heat_per_m2,train_static,,,X
stat_train_share_low_deltaT_dhw,train_static,,,X
stat_train_share_low_deltaT_space,train_static,,,X
stat_train_share_low_deltaT_vent,train_static,,,X
stat_train_slope_heat_per_m2_per_deg,train_static,,,X
ehr_compactness_ratio,ehr,,,X
ehr_has_heat_recovery,ehr,,,X
ehr_height_per_floor_m,ehr,,,X
ehr_max_floors,ehr,,,X
ehr_missing_compactness_ratio,ehr,,,X
ehr_missing_has_heat_recovery,ehr,,,X
ehr_missing_height_per_floor_m,ehr,,,X
ehr_missing_max_floors,ehr,,,X
ehr_missing_orientation_cos2,ehr,,,X
ehr_missing_orientation_sin2,ehr,,,X
ehr_missing_plan_aspect_ratio,ehr,,,X
