building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
LIB,M0,42,target_point_h1,point,1,8,13225,1322,8213,ok,8.410430209193281,5.072017669677734,0.981604278087616,8.824807167053223,6309678.0,7.770542904978523,2370864.9924832196,1.0542642620746996,3938813.0075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M0,52,target_point_h1,point,1,8,13225,1322,8213,ok,8.441293273480447,5.05623722076416,0.9814689755439758,8.797350883483887,6129535.5,7.770542904978523,2370864.9924832196,1.0268079785053636,3758670.5075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M0,62,target_point_h1,point,1,8,13225,1322,8213,ok,8.220919594664188,4.982382774353027,0.9824239015579224,8.668850898742676,6183762.0,7.770542904978523,2370864.9924832196,0.8983079937641527,3812897.0075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M1,42,target_point_h1,point,1,9,13225,1322,8213,ok,8.894449762198088,5.571400165557861,0.9794259667396545,9.693683624267578,13117791.0,7.770542904978523,2370864.9924832196,1.923140719289055,10746926.00751678,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M1,52,target_point_h1,point,1,9,13225,1322,8213,ok,8.961975729278002,5.3304057121276855,0.9791123867034912,9.27437686920166,6188038.5,7.770542904978523,2370864.9924832196,1.503833964223137,3817173.5075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M1,62,target_point_h1,point,1,9,13225,1322,8213,ok,8.08773898636826,4.831785678863525,0.9829887747764587,8.406827926635742,5933746.5,7.770542904978523,2370864.9924832196,0.6362850216572191,3562881.5075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M2,42,target_point_h1,point,1,14,13225,1322,8213,ok,8.361230719109694,4.92437219619751,0.9818188548088074,8.56791877746582,4977160.5,7.770542904978523,2370864.9924832196,0.7973758724872972,2606295.5075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M2,52,target_point_h1,point,1,14,13225,1322,8213,ok,8.254414619933593,4.915910720825195,0.982280433177948,8.553196907043457,4609280.5,7.770542904978523,2370864.9924832196,0.782654002064934,2238415.5075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M2,62,target_point_h1,point,1,14,13225,1322,8213,ok,8.243337541952677,4.832905292510986,0.982327938079834,8.40877628326416,4976277.0,7.770542904978523,2370864.9924832196,0.6382333782856371,2605412.0075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
LIB,M3,42,target_point_h1,point,1,15,13225,1322,8213,ok,8.575955031348231,5.029675483703613,0.9808730483055115,8.751136779785156,4984069.0,7.770542904978523,2370864.9924832196,0.9805938748066332,2613204.0075167804,35,2024-01-02 02:00:00,2024-12-31 01:00:00
