building,baseline_model,baseline_rmse,baseline_mae,baseline_r2,baseline_wape_pct,sb_setA_rmse,sb_setA_mae,sb_setA_r2,sb_setA_wape_pct,sb_setB_rmse,sb_setB_mae,sb_setB_r2,sb_setB_wape_pct,glob_setA_rmse,glob_setA_mae,glob_setA_r2,glob_setA_wape_pct,glob_setB_rmse,glob_setB_mae,glob_setB_r2,glob_setB_wape_pct
GEO,Persistence_1h,7.751,1.487,0.9928,5.914,76.16703670531466,13.569345474243164,0.09708935022354126,72.23405456542969,76.29341425440174,13.332380294799805,0.0940905213356018,70.97261810302734,75.90460964674675,12.402316093444824,0.10330039262771606,66.0215835571289,75.4062305739718,12.255764961242676,0.1150369644165039,65.24143981933594
ICO,ARX_ES,4.15,2.584,0.9828,6.55,7.974562735214458,4.769548416137695,0.9374836087226868,16.34156036376953,10.087222607661806,5.896684169769287,0.899971604347229,20.203386306762695,4.2592188761051375,2.648986577987671,0.9821663498878479,9.076032638549805,4.2871543099866045,2.6455531120300293,0.9819316864013672,9.064269065856934
LIB,ARX_ES,10.072,6.056,0.9718,7.718,9.741426659970399,5.7499566078186035,0.9753210544586182,10.004355430603027,9.725763568468343,5.855367660522461,0.9754003882408142,10.187759399414062,7.8235256670842075,4.564018726348877,0.9840821027755737,7.9409403800964355,7.970742129973787,4.5625481605529785,0.9834774136543274,7.938381671905518
SOC,ARX_ES,22.821,13.13,0.9652,8.826,18.91201729571331,11.33266544342041,0.9767003655433655,10.33446979522705,20.057965012663143,11.695623397827148,0.9737911820411682,10.665458679199219,17.08286241332002,9.762168884277344,0.9809894561767578,8.902304649353027,17.611405994234246,9.766104698181152,0.9797948598861694,8.905893325805664
STU,ARX_ES,14.829,7.703,0.9008,7.86,30.3321859401239,23.83965301513672,0.4757266044616699,20.367347717285156,30.0607122892962,23.85866928100586,0.4850691556930542,20.383594512939453,,,,,,,,
U01,ARX_ES,11.217,7.009,0.9806,6.221,70.77761787038506,42.000083923339844,0.30743682384490967,50.99748992919922,84.80325057799229,53.02009201049805,0.00575709342956543,64.37825012207031,17.799347529079192,11.22985553741455,0.9561998248100281,13.635555267333984,19.313166042064655,11.658903121948242,0.9484326839447021,14.156515121459961
U01U02,ARX_ES,24.499,16.729,0.9401,4.344,24.67552369710849,17.59682846069336,0.9395625591278076,4.4480767250061035,26.516164779788692,19.4910888671875,0.930209755897522,4.9269022941589355,,,,,,,,
U02,ARX_ES,4.169,2.216,0.9126,18.718,4.655032824473295,2.3764548301696777,0.8749732375144958,27.489395141601562,3.9780036997674815,1.9982147216796875,0.9086964130401611,23.11414337158203,3.2853323110242383,1.6017286777496338,0.9377246499061584,18.527830123901367,3.1835241017592333,1.533249855041504,0.9415245056152344,17.73571014404297
U02B,ARX_ES,3.163,2.006,0.9121,15.125,3.124138522614496,1.9688620567321777,0.9168974161148071,20.264545440673828,3.1784730133692043,2.002810478210449,0.9139816761016846,20.61396026611328,2.554353931359715,1.4359776973724365,0.9444459080696106,14.779823303222656,2.544198437652816,1.4553653001785278,0.9448867440223694,14.979371070861816
U03,ARX_ES,7.373,4.693,0.9808,7.026,11.766195620292908,7.409263610839844,0.9532341957092285,15.167510986328125,13.275185885807188,8.514580726623535,0.9404698014259338,17.430206298828125,6.262782948206624,3.757516622543335,0.9867507815361023,7.692016124725342,6.097965601637957,3.4154534339904785,0.987438976764679,6.9917778968811035
