scope,mode_a,mode_b,comparison,alternative,n_pairs,statistic,pvalue,median_delta_wape_A_minus_B,mean_delta_wape_A_minus_B
single,M1,M0,M1 vs M0,two-sided,75,1173.0,0.18328763888227262,0.06643104553222656,0.019794419606526694
single,M1,M0,M1 vs M0,greater,75,1677.0,0.09164381944113631,0.06643104553222656,0.019794419606526694
single,M1,M0,M1 vs M0,less,75,1677.0,0.9083561805588637,0.06643104553222656,0.019794419606526694
single,M2,M0,M2 vs M0,two-sided,75,622.0,2.232340591034369e-05,0.6706790924072266,4.453791732788086
single,M2,M0,M2 vs M0,greater,75,2228.0,1.1161702955171845e-05,0.6706790924072266,4.453791732788086
single,M2,M0,M2 vs M0,less,75,2228.0,0.9999888382970449,0.6706790924072266,4.453791732788086
single,M3,M0,M3 vs M0,two-sided,75,649.0,4.172538124600896e-05,0.9333038330078125,4.6789208984375
single,M3,M0,M3 vs M0,greater,75,2201.0,2.086269062300448e-05,0.9333038330078125,4.6789208984375
single,M3,M0,M3 vs M0,less,75,2201.0,0.999979137309377,0.9333038330078125,4.6789208984375
single,M4,M0,M4 vs M0,two-sided,75,536.0,2.673707472842099e-06,0.9504985809326172,3.746675351460775
single,M4,M0,M4 vs M0,greater,75,2314.0,1.3368537364210494e-06,0.9504985809326172,3.746675351460775
single,M4,M0,M4 vs M0,less,75,2314.0,0.9999986631462636,0.9504985809326172,3.746675351460775
single,M4,M3,M4 vs M3,two-sided,75,1406.0,0.9200818811075642,0.06263446807861328,-0.9322455469767252
single,M4,M3,M4 vs M3,greater,75,1406.0,0.5399590594462179,0.06263446807861328,-0.9322455469767252
single,M4,M3,M4 vs M3,less,75,1406.0,0.4600409405537821,0.06263446807861328,-0.9322455469767252
global,M1,M0,M1 vs M0,two-sided,75,641.0,3.4737162537778324e-05,0.1761493682861328,0.28698102951049803
global,M1,M0,M1 vs M0,greater,75,2209.0,1.7368581268889162e-05,0.1761493682861328,0.28698102951049803
global,M1,M0,M1 vs M0,less,75,2209.0,0.9999826314187311,0.1761493682861328,0.28698102951049803
global,M2,M0,M2 vs M0,two-sided,75,33.0,1.9741495698486265e-13,0.9975953102111816,1.503255360921224
global,M2,M0,M2 vs M0,greater,75,2817.0,9.870747849243133e-14,0.9975953102111816,1.503255360921224
global,M2,M0,M2 vs M0,less,75,2817.0,0.9999999999999013,0.9975953102111816,1.503255360921224
global,M3,M0,M3 vs M0,two-sided,75,108.0,3.5383140359900476e-12,0.7525029182434082,1.3660258038838704
global,M3,M0,M3 vs M0,greater,75,2742.0,1.7691570179950238e-12,0.7525029182434082,1.3660258038838704
global,M3,M0,M3 vs M0,less,75,2742.0,0.9999999999982309,0.7525029182434082,1.3660258038838704
global,M4,M0,M4 vs M0,two-sided,75,55.0,4.677197964218332e-13,0.8978652954101562,1.562838961283366
global,M4,M0,M4 vs M0,greater,75,2795.0,2.338598982109166e-13,0.8978652954101562,1.562838961283366
global,M4,M0,M4 vs M0,less,75,2795.0,0.9999999999997662,0.8978652954101562,1.562838961283366
global,M4,M3,M4 vs M3,two-sided,75,1127.0,0.11557858152420707,0.1348876953125,0.19681315739949545
global,M4,M3,M4 vs M3,greater,75,1723.0,0.05778929076210353,0.1348876953125,0.19681315739949545
global,M4,M3,M4 vs M3,less,75,1723.0,0.9422107092378965,0.1348876953125,0.19681315739949545
